Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Osteria Dal Moro;Giulianova;Lungomare Spalato, 74;085 800 4973;13:00-16:00 20:00-00:00;;;13:00-16:00 20:00-00:00;13:00-16:00 20:00-00:00;13:00-16:00 20:00-00:00;13:00-16:00 20:00-00:00
L'Osteria Cinque;Giulianova;Via Amerigo Vespucci;388 425 5652;19:00-22:30;;19:00-22:30;19:00-22:30;19:00-22:30;19:00-22:30;12:30-15:00
Ristorante Laguna Blu;Giulianova;Via Galileo Galilei, 299;085 800 8038;;;12:30-16:00 19:30-00:00;12:30-16:00 19:30-00:00;12:30-16:00 19:30-00:00;12:30-16:00 19:30-00:00;12:30-16:00
Rotta Cucina e Ristoro;Giulianova;Via Galileo Galilei, 226;085 911 8025;12:30-14:00 19:30-22:30;19:30-22:30;;19:30-22:30;19:30-22:30;19:30-22:30;12:30-14:00
Ristorante Bora Bora;Giulianova;Via Sardegna, 34;347 049 7912;;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00;09:00-18:00
Tagliato Mare;Giulianova;Lungomare Zara, 19;329 859 7356;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30
A casa di Lilla;Giulianova;Via Brecciola, 27;338 288 6618;;;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00
Osteria Vivizia;Giulianova;Piazza della Libertà, 12;333 852 5024;;;18:30-23:00;18:30-23:00;18:30-00:00;18:30-00:00;18:30-23:00
Cantine San Flaviano;Giulianova;P.za Bruno Buozzi, 25;085 802 8655;;17:30-23:30;17:00-00:00;00:00-17:00;17:30-23:30;24H;09:00-23:30
Aprudia;Giulianova;Largo del Forno, 16;085 201 1844;;;;19:45-22:00;19:45-22:00;09:00-17:00;12:30-14:00
Nero di Seppia;Giulianova;Via Trieste, 159;348 538 8978;12:30-14:30 19:30-22:30;;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30
Ristorante Il Giardino;Giulianova;Via Bompadre, 13;085 921 8812;;;;;19:30-00:00;19:30-00:00;12:30-15:00
Martin Pescatore;Giulianova;Via la Spezia, 5;085 800 3782;;;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30
Ristorante Gusto Beach;Giulianova;Via Guglielmo Marconi, 276;347 592 9234;;12:00-15:00 18:00-00:00;12:00-15:00 18:00-00:00;12:00-15:00 18:00-00:00;12:00-15:00 18:00-00:00;12:00-15:00 18:00-00:00;12:00-15:00 18:00-00:00
Terrazza Madia;Giulianova;Via Tito Acerbo, 13;377 330 6599;ND;ND;ND;ND;ND;ND;ND
Ristorante Lucia;Giulianova;Via Lampedusa, 12;349 525 2093;;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-16:00
Ristorante Il Gabbiano;Giulianova;Via Marsala, 20;085 800 4930;12:30-14:00 19:30-22:00;;12:30-14:00 19:30-22:00;12:30-14:00 19:30-22:00;12:30-14:00 19:30-22:00;12:30-14:00 19:30-22:00;12:30-14:00 19:30-22:00
Osteria da Massimo;Giulianova;Via Filippo Turati, 109;346 946 7111;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 20:30-23:00;
Ristorante L'Ancora;Giulianova;Via Filippo Turati, 142;085 800 5321;;12:30-14:30 19:45-22:00;12:30-14:30 19:45-22:00;12:30-14:30 19:45-22:00;12:30-14:30 19:45-22:00;12:30-14:30 19:45-22:00;12:00-15:00
Osteria La Stracciavocc;Giulianova;Via Trieste, 141;085 800 1563;12:30-14:30 19:45-22:30;;12:30-14:30 19:45-22:30;12:30-14:30 19:45-22:30;12:30-14:30 19:45-22:30;12:30-14:30 19:45-22:30;12:30-14:30
Beccaceci;Giulianova;Via duca degli abruzzi, 29;085 800 1592;;;;12:30-14:15;12:30-14:15 19:30-21:30;12:30-14:15 19:30-21:15;12:30-14:15
La Stracchinata;Giulianova;Via S. D'Acquisto, 28;085 800 3760;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00
Ristorante Valerio;Giulianova;Via Lombardi, 45;085 800 5006;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30
Sushi One;Giulianova;Via G. Galilei, 456;085 800 3804;12:00-15:00 19:00-23:30;12:00-15:00 19:00-23:30;12:00-15:00 19:00-23:30;12:00-15:00 19:00-23:30;12:00-15:00 19:00-23:30;12:00-15:00 19:00-23:30;12:00-15:00 19:00-23:30
Pizzeria Dal Grano;Giulianova;Via Nazario Sauro, 150;085 802 8139;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30
Pizzeria Farina e Sapore;Giulianova;Via G. Galilei, 151;333 463 3588;18:30-23:00;18:30-23:00;;18:30-23:00;18:30-23:00;18:30-23:00;18:30-23:00
Bellavista;Giulianova;Via Panoramica, 54;085 800 2408;ND;ND;ND;ND;ND;ND;ND
Il Kursaal;Giulianova;Lungomare Zara, 1;085 800 0013;ND;ND;ND;ND;ND;ND;ND
Pepe Nero;Giulianova;Viale Orsini, 21;085 800 0535;12:30-14:30 19:30-23:00;12:30-14:30 19:30-23:00;12:30-14:30 19:30-23:00;12:30-14:30 19:30-23:00;12:30-14:30 19:30-23:00;12:30-14:30 19:30-23:00;12:30-14:30
Borgo Splendore;Giulianova;Viale Splendore, 5;340 762 9015;ND;ND;ND;ND;ND;ND;ND
La Cantina Degli Antichi Mestieri;Isola del Gran Sasso d'Italia;Via S. Gabriele, 199;377 474 3702;08:00-14:00;08:00-14:00;08:00-14:00;08:00-14:00;08:00-22:00;08:00-22:00;08:00-22:00
Ristorante GRAN SASSO;Isola del Gran Sasso d'Italia;Contrada S. Gabriele, 181;0861 976149;11:30-14:30;11:30-14:30;11:30-14:30;11:30-14:30;;11:30-14:30;11:30-14:30
La Tana degli Orsi;Isola del Gran Sasso d'Italia;Fraz. Forca Di Valle;389 172 3650;;;12:00-14:30;12:00-14:30;12:00-14:30;12:00-14:30;12:00-14:30
La Perla Del Gran Sasso;Isola del Gran Sasso d'Italia;Via S. Gabriele, 255;349 171 0903;;;12:00-17:00;12:00-15:00;12:00-15:00;12:00-15:00;12:00-15:00
Ristorante Trattoria San Giovanni;Isola del Gran Sasso d'Italia;Contrada S. Giovanni;0861 976115;07:00-23:00;07:00-23:00;07:00-23:00;07:00-23:00;07:00-23:00;07:00-23:00;08:00-23:00
Le Balconate;Isola del Gran Sasso d'Italia;Via S. Gabriele;0861 976444;12:00-14:30;;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:30;12:00-15:00 19:30-22:00
Ristorante Pina;Isola del Gran Sasso d'Italia;Contrada S. Gabriele, 183;0861 976125;09:00-21:00;09:00-21:00;10:00-16:00;09:00-21:00;09:00-21:00;08:00-21:00;08:00-21:00
L`Alpino;Isola del Gran Sasso d'Italia;SP38, 13;0861 975181;12:00-15:00 19:00-23:59;;12:00-15:00 19:00-23:59;12:00-15:00 19:00-23:59;12:00-15:00 19:00-23:59;12:00-15:00 19:00-23:59;12:00-15:00 19:00-23:59
Trattoria Rustica;Isola del Gran Sasso d'Italia;Via Campo di Giove, 19;0861 975278;18:00-23:00;18:00-23:00;;18:00-23:00;18:00-23:00;18:00-23:00;18:00-23:00
Albergo Ristorante Insula;Isola del Gran Sasso d'Italia;Borgo San Leonardo, 78;0861 976202;;12:00-14:30 19:00-21:00;12:00-14:30 19:00-21:00;12:00-14:30 19:00-21:00;12:00-14:30 19:00-21:00;12:00-14:30 19:00-21:00;12:00-14:30
Albergo Ristorante Teresa;Isola del Gran Sasso d'Italia;Borgata Pagliara Vecchia, 50;0861 976246;ND;ND;ND;ND;ND;ND;ND
Bar Arrosticini Lo Spagnolo;Isola del Gran Sasso d'Italia;Frazione Trignano, 9;331 780 7180;;19:30-23:30;19:00-23:30;19:30-23:30;19:00-23:30;19:30-23:30;19:30-23:30
Agriturismo I Vaccari;Isola del Gran Sasso d'Italia;Contrada Trignano, 13;0861 975045;ND;ND;ND;ND;ND;ND;ND
Agriturismo Santa Lucia;Isola del Gran Sasso d'Italia;Borgata Pagliara Vecchia;0861 975703;ND;ND;ND;ND;ND;ND;ND
Fattoria Boscherini;Isola del Gran Sasso d'Italia;SP38, snc;0861 975437;ND;ND;ND;ND;ND;ND;ND
La Vecchia Lampada;Martinsicuro;Via Milano, 10;0861 797352;12:30-14:30 19:30-00:00;12:30-14:30 19:30-00:00;;12:30-14:30 19:30-00:00;12:30-14:30 19:30-00:00;12:30-14:30 19:30-00:00;12:30-14:30 19:30-00:00
Cambusa;Martinsicuro;Via Roma, 106;347 409 1876;12:30-15:00;12:30-15:00 20:00-23:00;12:30-15:00 20:00-23:00;12:30-15:00 20:00-23:00;12:30-15:00 20:00-23:00;12:30-15:00 20:00-23:00;12:30-15:00
Osteria del Pesce - Le Palme;Martinsicuro;SS16, 12;0861 797878;;12:00-14:30 19:30-22:30;12:00-14:30 19:30-22:30;12:00-14:30 19:30-22:30;12:00-14:30 19:30-22:30;12:00-14:30 19:30-22:30;12:00-14:30
Trattoria Al Braciere;Martinsicuro;Via Nazionale Adriatica Nord, 96;0861 752227;12:30-14:30 19:30-22:00;;12:30-14:30 19:30-22:00;12:30-14:30 19:30-22:00;12:30-14:30 19:30-22:00;12:30-14:30 19:30-22:00;12:30-15:00
Casalìa;Martinsicuro;Via Roma, 284;340 814 3596;09:30-12:30 15:30-19:00;09:30-13:00 15:30-19:00;09:30-12:30 15:30-19:00;09:30-12:30 15:30-19:00;09:30-12:30 15:30-22:30;09:30-12:30 15:30-22:30;09:30-15:00
Trattoria Movida;Martinsicuro;Lungomare Europa, 58;333 281 6282;12:30-22:30;12:30-22:30;12:30-22:30;12:30-22:30;12:30-22:30;12:30-22:30;12:30-22:30
Ristorante Pasqualò;Martinsicuro;Via Colle di Marzio, 40;0861 760321;;12:30-15:00 20:00-22:30;12:30-15:00 20:00-22:30;12:30-15:00 20:00-22:30;12:30-15:00 20:00-22:30;12:30-15:00 20:00-22:30;12:30-15:00
Ristorante Roma;Martinsicuro;Lungomare Europa, 12;0861 182 8824;;;;;19:30-23:00;12:30-14:30 19:30-23:00;12:30-14:30
Osteria Gallo Nero;Martinsicuro;Via Martin De Segura, 13;351 620 5291;12:30-14:30 19:30-22:30;;19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30
Le meraviglie del mare;Martinsicuro;Via Aldo Moro, 82;392 325 0875;;10:00-15:00 19:00-22:00;10:00-15:00 19:00-22:00;10:00-15:00 19:00-22:00;10:00-15:00 19:00-22:00;10:00-15:00 19:00-22:00;10:00-15:00
Chalet Kirà;Martinsicuro;Lungomare Italia;0861 713268;;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:00-14:30
La Lampara;Martinsicuro;Via delle Lampare, 22;0861 228123;;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30
Ristorante Loretta;Martinsicuro;Lungomare Europa, 80;0861 177 7429;;;12:00-14:30;12:00-14:30;12:00-14:30 19:00-22:30;12:00-14:30 19:00-22:30;12:00-14:30
Il Giardino dell'arrosticino;Martinsicuro;SS16, km 392;340 504 7783;;;;;;19:30-22:30;
Pizzeria Tortuga;Martinsicuro;Lungomare Italia, 8;0861 710827;19:30-00:00;;19:30-00:00;19:30-00:00;19:30-00:00;12:00-15:00 19:00-00:00;12:00-15:00 19:00-00:00
Posto 9 Chalet;Martinsicuro;Lungomare Italia;0861 714561;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;08:00-23:00;08:00-23:00;08:00-23:00
Ristorante Vecchia Marina;Martinsicuro;Lungomare Europa, 32;0861 797244;12:30-14:30 19:30-22:30;;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30
Vigneto;Martinsicuro;Via Nazionale Adriatica Nord, 98;0861 714652;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30 19:30-22:30;12:30-15:00
Leon d'Or;Martinsicuro;Via Aldo Moro, 35;0861 760775;ND;ND;ND;ND;ND;ND;ND
Peperoncino;Martinsicuro;Lungomare Europa, 122;0861 762295;ND;ND;ND;ND;ND;ND;ND
Hotel Ristorante Mediterraneo;Martinsicuro;Via Roma, 55;0861 797033;ND;ND;ND;ND;ND;ND;ND
La Taverna dei Malatesta;Martinsicuro;Via Risorgimento, 45;0861 177 3481;ND;ND;ND;ND;ND;ND;ND
Pass... E Fermati;Montefino;Via Giuseppe Mazzini, 14;388 623 7410;19:00-23:30;;;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30
Osteria degli Ulivi;Montorio al Vomano;Via Fornaci;0861 592882;;;;19:30-21:00;19:30-21:00;19:30-21:00;12:30-14:30
Trattoria Fedora;Montorio al Vomano;Corso G.Valentini, 116;0861 598478;12:00-14:30;12:00-15:00;12:00-15:00;;12:00-15:00;12:00-15:00;12:00-15:00
Antichi Sapori;Montorio al Vomano;Contrada Bivio Villa Maggiore;0861 590455;12:00-15:00;;12:00-15:00 19:30-23:00;12:00-15:00 19:30-23:00;12:00-15:00 19:30-23:00;12:00-15:00 19:30-23:00;12:00-15:00 19:30-23:00
Trattoria a Casa Damiani;Montorio al Vomano;Via G. Leopardi, 20;0861 598497;;12:00-14:30;12:00-14:30;12:00-14:30;12:00-14:30;12:00-14:30;12:00-15:00
Locanda San Michele;Montorio al Vomano;Contrada Camerale, Snc;331 465 8909;19:30-22:30;;19:30-22:30;19:30-22:30;19:30-22:30;12:30-14:30 19:30-22:30;12:30-14:30
Dal Sir Home Restaurant;Montorio al Vomano;Villa Brozzi, 38;334 248 2367;;;12:30-00:00;12:30-23:30;12:30-22:30;12:30-23:30;13:00-16:00
Ristorante Lu Mmascarone;Montorio al Vomano;V. Fontana della Conserva, 12;0861 591863;;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00
Trattoria Il Porcellino;Montorio al Vomano;Contrada Venaquila, 4;347 663 8197;12:30-23:00;12:30-23:30;12:30-23:30;12:30-23:30;12:30-23:30;12:00-23:30;12:00-23:30
Country House Lo Scoiattolo;Montorio al Vomano;Frazione Cusciano;349 761 5561;;;;12:30-14:00 19:30-21:30;12:30-14:00 19:30-21:30;12:30-14:00 19:30-21:30;12:30-15:00
Home restaurant da Susanna;Montorio al Vomano;Contrada S. Giovanni;338 107 2708;;18:00-00:00;18:00-00:00;18:00-00:00;18:00-00:00;18:00-00:00;11:00-17:00
Pizzeria KonviviuM;Montorio al Vomano;Corso G.Valentini, 18;0861 592461;;16:30-23:30;16:30-23:30;16:30-23:30;16:30-23:30;16:30-23:30;16:30-23:30
Horama Club;Montorio al Vomano;Contrada Trinità;379 128 6150;12:00-15:00 18:00-23:00;12:00-15:00;12:00-15:00 18:00-23:00;12:00-15:00 18:00-23:00;12:00-15:00 18:00-23:00;19:00-23:00;
Motel Tittina;Montorio al Vomano;Strada Statale 150, 63;0861 598739;08:00-00:00;08:00-00:00;08:00-00:00;08:00-00:00;08:00-15:00;08:00-00:00;08:00-00:00
Toto';Montorio al Vomano;Via Antonio Gramsci, 3;0861 598508;;12:30-14:30 19:15-22:30;12:15-14:30 19:15-22:30;12:15-14:30 19:15-22:30;12:15-14:30 19:15-22:30;19:15-23:00;12:30-14:30 19:15-22:30
Ristorante Lu Gidat;Montorio al Vomano;C.da Case Molino, 22;0861 591244;ND;ND;ND;ND;ND;ND;ND
La Locanda Del Picchio;Morro d'Oro;Contrada Case di Pasquale;334 726 3057;;;;19:30-23:00;19:30-23:00;;13:00-16:00
La Bottega della Reginetta;Morro d'Oro;Via Piano Cecchino;389 160 4872;;;18:30-00:00;18:30-00:00;18:30-00:00;18:30-00:00;12:00-14:30 18:30-00:00
Agriturismo Il Vecchio Ulivo;Morro d'Oro;Contrada Colle Croce, 6;085 895 8506;ND;ND;ND;ND;ND;ND;ND
Country House San Pietro;Morro d'Oro;Via S P Salara, 115;085 788 0946;ND;ND;ND;ND;ND;ND;ND
Legàmi;Morro d'Oro;Contrada Torrenera, 23;345 413 7497;;19:00-23:00;19:00-23:00;19:00-23:00;19:00-23:00;19:00-23:00;12:30-15:00 19:30-22:00
Mare E Monti;Morro d'Oro;Contrada Pagliare, 7;085 804 1039;;12:00-15:00;12:00-15:00;12:00-15:00;12:00-15:00;12:30-15:00;12:30-15:00
Ristorante Chalet del Parco;Morro d'Oro;SS150;335 563 9501;12:00-14:30;12:00-14:30;;12:00-14:30 19:00-23:00;12:00-14:30 19:00-23:00;19:00-23:30;19:00-23:00
Pizzeria La Fonte;Morro d'Oro;SP21;085 804 1545;;19:00-00:00;19:00-00:00;19:00-00:00;19:00-00:00;19:00-00:00;19:00-00:00
Al SaNicolaus;Morro d'Oro;Piazza Duca Abruzzi;334 813 0465;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00;09:00-00:00
Country House Torrenera;Morro d'Oro;Contrada Torrenera, 23;377 027 7147;;;;;;19:30-22:00;12:30-14:30
Leggero;Giulianova;Vle Vincenzo Ercole Orsini, 38;348 255 0495;07:00-02:00;07:00-02:00;07:00-02:00;07:00-02:00;07:00-02:00;07:00-02:00;07:00-02:00
Las Vegas;Giulianova;Via Nazario Sauro, 43;085 800 6420;07:00-01:00;07:00-01:00;07:00-01:00;07:00-01:00;07:00-01:00;07:00-02:00;07:00-00:00
American Bar;Giulianova;Via Luigi Migliori, 82;378 432 4827;;07:30-23:00;07:30-23:00;07:30-23:00;07:30-23:00;07:30-23:00;07:30-23:00
Wine Bar Dolce E Salato;Giulianova;Vle Vincenzo Ercole Orsini, 92;339 118 0758;07:00-02:00;07:00-01:30;20:00-01:30;07:00-02:00;07:00-02:00;07:00-02:00;07:00-02:00
Giro Di Boa;Giulianova;Lungomare Spalato;328 687 2615;;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;08:00-00:00;08:00-00:00
Caffé La Cupola;Giulianova;P.za Bruno Buozzi, 7;085 203 2915;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00
Gran Caffè dè Baroni;Giulianova;Via Antonio Gramsci, 1;085 800 3510;06:00-22:00;;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00;06:00-22:00
Bar Lando;Giulianova;Via Lombardi;340 718 2338;07:00-23:00;07:00-23:00;07:00-23:00;07:00-23:00;07:00-23:00;07:00-23:00;
Bar Asso di Picche;Giulianova;Vle Vincenzo Ercole Orsini, 33;085 800 8244;06:30-00:00;;06:30-00:00;06:30-21:00;06:30-00:00;06:30-00:00;06:30-00:00
Bar L'Angolo;Giulianova;Via Lepanto, 85;085 800 1651;05:00-20:00;05:00-20:00;05:00-20:00;05:00-20:00;05:00-20:00;05:00-20:00;
Bar Fuori Corso;Isola del Gran Sasso d'Italia;Via Roma, 12;0861 975563;07:00-01:00;07:00-01:00;07:00-01:00;07:00-01:00;07:00-01:00;07:00-01:00;07:00-01:00
Bar - Pub "Colony";Isola del Gran Sasso d'Italia;SP38;0861 975151;05:45-00:00;05:45-00:00;05:45-00:00;05:45-00:00;05:45-00:00;05:45-00:00;05:45-00:00
Bar Mingo Caffè;Isola del Gran Sasso d'Italia;Contrada Torretta;0861 199 6009;;06:30-00:00;06:30-00:00;06:30-00:00;06:30-00:00;06:30-00:00;06:30-00:00
Caffetteria Bonfini;Isola del Gran Sasso d'Italia;Via S. Gabriele;ND;ND;ND;ND;ND;ND;ND;ND
Bar flacco;Isola del Gran Sasso d'Italia;Viale Settimio Costantini, 20;0861 976192;06:00-00:00;06:00-00:00;06:00-00:00;;06:00-00:00;06:00-00:00;06:00-00:00
Bar Giuliano e Primo;Martinsicuro;Lungomare Europa, 98;0861 432947;06:00-02:00;;06:00-02:00;06:00-02:00;06:00-02:00;06:00-02:00;06:00-02:00
L'Angolo Della Bontà;Martinsicuro;Via Roma, 193;340 563 9560;05:30-13:00 15:00-19:00;;05:30-13:00 15:00-19:00;05:30-13:00 15:00-19:00;05:30-13:00 15:00-19:00;05:30-13:00 15:00-19:00;06:30-13:00
Bar Gabri;Martinsicuro;Via Bolzano, 55;ND;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00
Bar Centrale;Martinsicuro;Piazza Cavour, 60;327 462 7882;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;07:00-13:00;07:00-13:00
Ko.Kaos;Martinsicuro;Via Ignazio Silone, 27;ND;07:00-20:00;07:00-20:00;07:00-20:00;07:00-20:00;07:00-20:00;07:00-20:00;07:00-20:00
Bar Gelateria Venezia;Martinsicuro;Lungomare Europa, 14;0861 797733;07:00-01:30;07:00-01:30;07:00-01:30;07:00-01:30;07:00-01:00;07:00-01:30;07:00-01:30
Bar Anfiteatro;Martinsicuro;Via Napoli, 5;ND;07:02-02:00;07:02-02:00;07:02-02:00;07:02-02:00;07:02-02:00;07:02-02:00;07:02-00:00
Gli acchiappagolosi;Martinsicuro;Lungomare Europa, 8;324 816 9597;;06:00-19:30;06:30-19:30;06:30-19:30;05:30-19:30;05:30-19:30;05:30-19:30
Il Brillo Parlante;Martinsicuro;Via Aldo Moro, 14;392 678 5571;;18:00-01:00;18:00-01:00;18:00-01:00;18:00-02:00;18:00-02:00;18:00-00:00
