Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Bar Il Canarino;Martinsicuro;Via Roma, 437;ND;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-22:00;06:00-22:00;06:00-22:00
La Cantina;Montefino;Via Roma, 1;320 241 8038;07:00-00:00;07:00-00:00;;07:00-00:00;07:00-00:00;07:00-00:00;07:00-23:30
Caffè Coccia D'Argento;Montorio al Vomano;Viale Settembrini, 10;0861 598682;05:00-01:00;05:00-01:00;05:00-01:00;05:00-01:00;05:00-01:00;05:00-01:00;
Bar Andy e Mary;Montorio al Vomano;Via Piane, 4;0861 591674;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;08:00-13:30 17:00-19:30
Caffè della Corte;Montorio al Vomano;Piazza Orsini, 17;ND;07:00-23:00;07:00-23:00;07:00-23:00;;07:00-23:00;07:00-23:00;07:00-23:00
Bar DaRo;Montorio al Vomano;Viale Settembrini, 91;347 293 3987;;05:00-02:00;05:00-02:00;05:00-02:00;05:00-02:00;05:00-02:00;05:00-02:00
Tranqi;Montorio al Vomano;Viale Settembrini, 76;0861 592569;17:30-00:00;17:30-01:00;18:00-00:00;;17:30-01:00;17:30-00:00;17:30-00:00
Bar Centrale;Montorio al Vomano;Viale Duca degli Abruzzi, 52;ND;ND;ND;ND;ND;ND;ND;ND
Roxy Bar;Montorio al Vomano;Largo Rosciano, 56;327 554 9604;06:45-01:00;06:45-01:00;06:45-01:00;06:45-01:00;06:45-01:00;06:45-01:00;06:45-01:00
Caffè Ristretto;Montorio al Vomano;Viale Duca degli Abruzzi, 41;0861 592722;06:00-02:00;06:00-02:00;06:00-02:00;06:00-02:00;06:00-02:00;06:00-02:00;06:00-02:00
Caffè Risorgimento;Montorio al Vomano;Viale Risorgimento, 86;375 599 3581;06:00-14:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00;06:00-23:00
Bocconotto Reale;Montorio al Vomano;Via G. Leopardi, 26;0861 592925;07:30-13:00 16:00-20:00;07:30-13:00 16:00-20:00;07:30-13:00 16:00-20:00;07:30-13:00 16:00-20:00;07:30-13:00 16:00-20:00;07:30-13:00 16:00-20:00;
Utopia Cocktail Bar;Morro d'Oro;Via Roma, 16;351 503 3026;;08:00-14:00 16:00-22:00;08:00-14:00 16:00-22:00;08:00-14:00 16:00-22:00;08:00-14:00 16:00-01:00;08:00-14:00 16:00-01:00;08:00-14:00 16:00-22:00
Pasticceria Dolce Vita;Morro d'Oro;SS150, 82;339 863 6896;;05:30-20:00;05:30-20:00;05:30-20:00;05:30-20:00;05:30-20:00;05:30-13:00
Freccia caffè;Morro d'Oro;Contrada Pagliare, 3;085 809 0698;05:00-13:00;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;05:00-22:00;05:00-13:00 15:00-22:00
Santa Maria;Morro d'Oro;Contrada Propezzano;328 816 8518;06:30-21:00;06:30-21:00;06:30-21:00;06:30-21:00;06:30-21:00;06:30-21:00;07:00-22:00
Caffè Vittoria;Morro d'Oro;Piazza Enrico Berlinguer, 6;388 818 4183;06:30-15:00 17:30-20:00;06:30-15:30 17:30-20:00;06:30-15:00 17:30-20:00;06:30-15:00 17:30-20:00;06:30-15:00 17:30-20:00;07:00-14:00 16:00-19:00;
Osteria Vicolo Cieco;Colonnella;Via del Pebliscito, 1;334 989 1567;;;;;;12:00-15:00;12:00-15:00
Osteria Pchior;Colonnella;Via Sobborgo, 20-1;351 494 0447;;;19:45-22:00;19:45-22:00;19:45-22:00;12:45-14:00 19:45-22:00;12:45-14:00 19:45-22:00
Ristorante Zenobi;Colonnella;Via degli ulivi 49;0861 70581;12:45-14:00 19:45-21:45;;;12:30-14:00 19:45-21:30;12:45-14:00 19:45-22:00;12:45-14:00 19:45-22:00;12:45-14:30
Osteria Centolire;Colonnella;Via Civita, 73;0861 195 0176;19:30-23:00;;19:30-23:00;19:30-23:00;19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00
IL CASCINALE;Colonnella;Via Della Chiusa, 49;0861 70416;24H;24H;24H;24H;24H;24H;24H
Ristorante pizzeria Saporito;Colonnella;Via Della Chiusa, 4;347 146 0436;12:00-15:00 19:00-22:00;;12:00-15:00 19:00-22:00;12:00-15:00 19:00-23:00;12:00-15:00 19:00-23:00;12:00-15:00 19:00-23:00;12:30-15:00 19:00-22:00
Villa Incanto;Colonnella;Via Del Pianaccio, 4;0861 700040;;10:00-16:00 18:00-00:00;10:00-16:00 18:00-00:00;10:00-16:00 18:00-00:00;10:00-16:00 18:00-00:00;10:00-16:00 18:00-00:00;12:00-15:00 19:00-00:00
Ristorante Il Semaforo;Colonnella;Via Della Chiusa, 4;0861 70204;12:00-15:00 19:30-22:30;12:00-15:00 19:30-22:30;12:00-15:00 19:30-22:30;12:00-15:00 19:30-22:30;12:00-15:00 19:30-22:30;12:00-15:00 19:30-22:30;12:00-15:00 19:30-22:30
Bar Dello Sport;Colonnella;Via Roma, 1;389 143 4692;06:30-02:00;06:30-02:00;06:30-02:00;06:30-02:00;06:30-02:00;06:30-02:00;06:30-02:00
Bar Good Luck;Colonnella;Via dell'Icona, 5;0861 70405;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00;07:00-00:00
La Pineta;Controguerra;Contrada S. Giovanni, 30;0861 89252;;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:00;12:00-14:30 19:30-22:00
Ristorante Pizzeria Biscus;Controguerra;Via Giardino, 5;0861 89638;;;;19:15-23:00;19:15-23:00;12:15-14:00 19:15-23:00;12:15-14:00 19:15-23:00
Ristorante Baobab;Controguerra;Zona Mattonelle, 15;0861 89408;;;19:00-00:30;19:00-00:30;19:00-00:30;19:00-00:30;12:00-15:30 19:00-00:30
Officine Vegetali Home Restaurant;Controguerra;c.da Palombaie, 6;320 769 4477;12:00-22:30;12:00-22:30;12:00-22:30;12:00-22:30;12:00-22:30;12:00-22:30;12:00-22:30
L'Angolo Della Pizza;Controguerra;Via Giovanni Amadio;347 392 2665;;16:00-21:00;16:00-21:00;16:00-21:00;16:00-21:00;16:00-21:00;16:00-21:00
Caffè Ricchitto;Controguerra;Piazza del Commercio, 10;0861 89133;06:00-00:00;;06:00-00:00;06:00-23:30;06:00-00:00;06:00-00:00;06:00-00:00
Bar birreria New sixtyNine;Controguerra;Via Circonvallazione sud;393 590 5492;24H;24H;24H;24H;24H;24H;
Bar dello Sport;Controguerra;Via Giovanni Amadio, 11/15;0861 89038;05:00-00:00;05:00-00:00;05:00-00:00;05:00-00:00;05:00-00:00;05:00-00:00;05:00-00:00
La Locanda della Tradizione Abruzzese;Corropoli;Viale Adriatico, 91;0861 810129;;12:15-14:30 19:15-22:15;12:15-14:30 19:15-22:30;12:15-14:30 19:15-22:15;12:15-14:30 19:15-22:15;12:15-14:30 19:15-22:30;12:15-14:30
Country House 3 Quatrì;Corropoli;Via Camillo Benso Conte di Cavour;351 802 9106;12:00-14:30 20:00-22:00;;12:00-14:30 20:00-22:00;12:00-14:30 20:00-22:00;12:00-14:30 20:00-22:30;12:00-14:30 20:00-22:30;12:00-22:00
Ristorante Gourmet Lume Bistrò;Corropoli;Viale Adriatico, 28;0861 810077;12:00-14:30 20:00-23:00;12:00-14:30 20:00-23:00;12:00-14:30 20:00-23:00;12:00-14:30 20:00-23:00;12:00-14:30 20:00-23:00;20:00-23:00;
Ristorante Palazzo Ducale della Montagnola;Corropoli;Viale Piane S. Donato;0861 851945;10:00-15:00 18:00-23:00;;10:00-15:00 18:00-23:00;10:00-15:00 18:00-23:00;10:00-15:00 18:00-23:00;10:00-15:00 18:00-23:00;10:00-15:00
Hosteria da Papà;Corropoli;Via Pianagallo, 6;0861 796230;09:00-15:00 16:00-22:30;09:00-15:00 16:00-22:30;09:00-23:00;09:00-15:30 17:00-22:30;09:00-15:00 16:00-22:30;09:00-14:30 16:00-22:30;08:00-14:30 17:00-22:30
A Casa di Luigi;Corropoli;Viale Gran Sasso, 97;0861 855092;;12:30-14:30 19:00-22:00;12:30-14:30 19:00-22:00;12:30-15:00 19:00-22:00;12:30-15:00 19:00-22:00;12:30-14:30 19:00-22:00;12:30-15:00
Ristorante @ Country House La Gioconda;Corropoli;Santa Scolastica;ND;12:00-17:30 19:30-02:00;12:00-17:30 19:30-02:00;12:00-17:30 19:30-02:00;12:00-17:30 19:30-02:00;12:00-17:30 19:30-02:00;12:00-17:30 19:30-02:00;12:00-17:30 19:30-02:00
Punto Ristoro;Corropoli;Via Nicola Rosati, 17;0861 855842;;12:00-16:00 19:30-00:00;12:00-16:00 19:30-00:00;12:00-16:00 19:30-00:00;12:00-16:00 19:30-00:00;12:00-16:00 19:30-00:00;12:00-16:00 19:30-00:00
Villa Reale Resort;Corropoli;Via degli Ulivi, 6;0861 82344;;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;11:30-23:30;11:30-23:30
Bar Essenza Drink & Food;Corropoli;Viale Adriatico, 72;389 346 1753;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-13:00
Il Pagliaio;Cortino;Pagliaroli;0861 64147;;07:00-20:00;07:00-20:00;07:00-20:00;07:00-00:00;07:00-20:00;07:00-20:00
Bar alimentari;Cortino;SP47;ND;ND;ND;ND;ND;ND;ND;ND
Ristorante Pizzeria Albergo La Rocchetta;Crognaleto;SS.80, contrada cerrone;0861 950114;;24H;24H;24H;24H;24H;24H
Il Ristoro, trattoria Monti della Laga;Crognaleto;Frattoli;0861 957218;08:30-18:00;08:30-18:00;;08:30-18:00;08:30-18:00;08:30-18:00;08:30-18:00
La tana del Lupo;Crognaleto;Crognaleto;347 109 8700;ND;ND;ND;ND;ND;ND;ND
Ristorante Bar Marinelli Loreta;Crognaleto;Vicolo San Giorgio, 1;366 282 0026;08:00-19:00;08:00-19:00;08:00-19:00;;08:00-19:00;08:00-19:00;08:00-19:00
Bar Pizzeria Cosciotti;Crognaleto;Via Nazionale, 1/A;0861 950148;06:00-00:00;06:00-00:00;;06:00-00:00;06:00-00:00;06:30-02:00;07:30-00:00
Taverna 7 Effe;Fano Adriano;Via Villa Moreni, 2;0861 95269;12:00-15:00;;12:30-15:00 19:00-21:00;12:30-15:00 19:00-21:00;12:30-15:00 19:00-21:00;12:30-16:00 19:00-21:00;12:30-16:00 19:00-21:00
MOM Cucina Vegetale Creativa;Fano Adriano;Via della Cannalecchia, 10;0861 968015;;;;;;12:30-14:30 19:00-21:30;12:45-15:30
Bar Arno;Fano Adriano;Contrada Ponte Rio Arno 5;0861 968009;08:00-20:00;08:00-20:00;08:00-20:00;;08:00-20:00;08:00-20:00;08:00-20:00
Ristorante Zenobi;Colonnella;Contrada Segaturo, 82;0861 70581;12:30-15:00 19:30-22:30;;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00
Locanda del Re;Colonnella;Via Vibrata, 80;0861 743048;12:00-14:30 19:00-23:00;12:00-14:30 19:00-23:00;12:00-14:30 19:00-23:00;12:00-14:30 19:00-23:00;12:00-14:30 19:00-23:00;12:00-14:30 19:00-23:00;12:00-14:30 19:00-23:00
Pappamì;Colonnella;Via Roma, 42;0861 70258;19:30-23:00;19:30-23:00;;19:30-23:00;19:30-23:00;19:30-23:00;12:30-15:00 19:30-23:00
Ristorante Bellavista;Colonnella;Via Belvedere, 20;0861 70233;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00
Braceria Dal Mastro;Colonnella;Contrada Isola, 18;338 152 4893;19:30-23:30;19:30-23:30;;19:30-23:30;19:30-23:30;19:30-23:30;12:30-15:00 19:30-23:30
Pizzeria El Gatone;Colonnella;Via Gradinata, 1;0861 70808;19:00-23:00;;19:00-23:00;19:00-23:00;19:00-23:00;19:00-23:00;19:00-23:00
Villa Rosa;Colonnella;Contrada Civita, 18;0861 712330;12:00-15:00 19:00-22:30;12:00-15:00 19:00-22:30;12:00-15:00 19:00-22:30;12:00-15:00 19:00-22:30;12:00-15:00 19:00-22:30;12:00-15:00 19:00-22:30;12:00-15:00
Oishi Japanese Kitchen;Colonnella;Via Vibrata, s.n.c.;0861 839103;12:30-15:00 19:30-23:30;12:30-15:00 19:30-23:30;12:30-15:00 19:30-23:30;12:30-15:00 19:30-23:30;12:30-15:00 19:30-23:30;12:30-15:00 19:30-23:30;12:30-15:00 19:30-23:30
Ristorante Pizzeria Belvedere;Colonnella;Contrada S. Martino, 14;0861 70138;19:30-23:00;19:30-23:00;19:30-23:00;;19:30-23:00;19:30-23:00;12:30-15:00 19:30-23:00
Ristorante Fonte del Re;Colonnella;Via Civita, 12;0861 70271;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00
Caffè del Corso;Colonnella;Piazza del Popolo, 4;0861 70144;07:00-21:00;07:00-21:00;07:00-21:00;07:00-21:00;07:00-21:00;07:00-23:00;07:00-21:00
Bar Tabacchi Il Bivio;Colonnella;Contrada Isola;0861 70555;06:00-20:00;06:00-20:00;06:00-20:00;06:00-20:00;06:00-20:00;06:00-20:00;07:00-13:00
Bar Belvedere;Colonnella;Via Belvedere, 5;;ND;ND;ND;ND;ND;ND;ND
Ristorante Lu Socce;Controguerra;Via S. Rocco, 2;0861 89400;12:30-15:00;12:30-15:00;;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00 19:30-22:30;12:30-15:00
Osteria del Vino Novello;Controguerra;Piazza del Commercio, 8;0861 89196;19:30-23:00;19:30-23:00;19:30-23:00;;19:30-23:00;19:30-23:00;12:30-15:00 19:30-23:00
Pizzeria Lo Spuntino;Controguerra;Via G. Amadio, 28;0861 809831;18:00-23:00;18:00-23:00;18:00-23:00;18:00-23:00;18:00-23:00;18:00-23:00;18:00-23:00
Agriturismo Il Frantoio;Controguerra;Via Piane Tronto, 15;0861 89146;ND;ND;ND;ND;ND;ND;ND
Ristorante Pizzeria La Scaletta;Controguerra;Via Roma, 12;0861 810452;19:00-23:30;;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30
Il Melograno;Controguerra;Via Piane del Tronto, 25;328 152 4894;12:30-15:00;12:30-15:00;12:30-15:00;12:30-15:00;12:30-15:00;12:30-15:00;12:30-15:00
Bar Centrale;Controguerra;Via Vittorio Veneto, 2;0861 809460;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-21:00;06:00-22:00;07:00-20:00
Green Bar;Controguerra;Viale G. Amadio, 15;;ND;ND;ND;ND;ND;ND;ND
Ristorante Kursaal;Corropoli;Viale Adriatico, 48;0861 82348;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00 19:30-23:00;12:30-15:00
La Scaletta;Corropoli;Via F. Parri, 1;0861 856525;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;19:30-23:30;12:30-15:00
Pizzeria I Templari;Corropoli;Bivio di Corropoli;0861 83262;18:30-23:30;;18:30-23:30;18:30-23:30;18:30-23:30;18:30-23:30;18:30-23:30
L'Arrosticino;Corropoli;Contrada Gabbiano, 25;0861 810142;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;19:30-23:00;12:30-15:00
Ristorante Pizzeria Il Girasole;Corropoli;Via San Giuseppe, 1;0861 810488;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30;19:00-23:30;12:30-15:00
Bar del Bivio;Corropoli;S.S. 259, km 10;0861 82144;05:30-21:00;05:30-21:00;05:30-21:00;05:30-21:00;05:30-21:00;05:30-21:00;06:30-13:00
Caffè San Giuseppe;Corropoli;Via San Giuseppe, 32;0861 810123;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;06:30-20:00;06:30-21:00;07:30-13:00
Ristoro La Pineta;Cortino;Frazione Casanova;0861 629124;12:30-15:00;12:30-15:00;12:30-15:00;12:30-15:00;12:30-15:00;12:30-15:00 19:30-22:00;12:30-15:30
Agriturismo Fonte della Noce;Cortino;Località Pagliaroli;338 412 1863;ND;ND;ND;ND;ND;ND;ND
Bar del Borgo;Cortino;Via Roma, 5;;ND;ND;ND;ND;ND;ND;ND
Hotel Ristorante Miramonti;Crognaleto;Frazione Tottea;0861 950114;12:30-15:00 19:30-22:00;12:30-15:00 19:30-22:00;12:30-15:00 19:30-22:00;12:30-15:00 19:30-22:00;12:30-15:00 19:30-22:00;12:30-15:00 19:30-22:00;12:30-15:30
La Locanda della Tradizione;Crognaleto;Frazione Nerito;340 782 5486;ND;ND;ND;ND;ND;ND;ND
Ristorante Hotel Gran Sasso;Crognaleto;Frazione Nerito;0861 950110;12:30-14:30 19:30-21:30;12:30-14:30 19:30-21:30;12:30-14:30 19:30-21:30;12:30-14:30 19:30-21:30;12:30-14:30 19:30-21:30;12:30-14:30 19:30-21:30;12:30-14:30
Bar Pizzeria Nerito;Crognaleto;Via Roma, 12;0861 950112;07:00-22:00;07:00-22:00;07:00-22:00;07:00-22:00;07:00-22:00;07:00-23:00;07:00-22:00
Bar Alimentari Tabacchi;Crognaleto;Frazione Tottea;;ND;ND;ND;ND;ND;ND;ND
Ristorante La Genziana;Fano Adriano;Piazza Prato Selva;0861 95133;12:30-15:00 19:30-21:30;12:30-15:00 19:30-21:30;12:30-15:00 19:30-21:30;12:30-15:00 19:30-21:30;12:30-15:00 19:30-21:30;12:30-15:00 19:30-21:30;12:30-15:00
Bar Pizzeria Gran Sasso;Fano Adriano;Via Roma, 1;0861 95111;08:00-22:00;08:00-22:00;08:00-22:00;08:00-22:00;08:00-22:00;08:00-23:00;08:00-22:00
Bar del Corso;Fano Adriano;Corso Umberto I;;ND;ND;ND;ND;ND;ND;ND
Botti & Brace;Baselice;Via Santa Maria, 71;340 692 2831;12:30-15:00 19:30-00:00;12:30-15:00 19:30-00:00;12:30-15:00 19:30-00:00;;12:30-15:00 19:30-00:00;12:30-15:00 19:30-00:00;12:30-15:00 19:30-00:00
Agriturismo Regio Tratturo;Baselice;Strada Provinciale 30;389 985 7542;ND;ND;ND;ND;ND;ND;ND
Villa Canonico;Baselice;Contrada Defenza;0824 822043;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00;10:00-21:00
La Mangiatoia;Baselice;Contrada De fenza, snc;328 353 4802;;;;19:00-00:00;19:00-00:00;19:00-00:00;19:00-00:00
Ristorante Pizzeria La Fortorina;Baselice;Via Valfortore;347 936 0943;;;;;19:00-00:00;19:00-00:00;19:00-00:00
Pub IL PALAZZO DEI BARONI;Baselice;Via Luigi Capuano;349 743 5872;19:00-02:00;19:00-02:00;19:00-02:00;19:00-02:00;19:00-02:00;19:00-02:00;19:00-02:00
La terrazza;Baselice;Via Cima del Colle, 10;347 622 0805;24H;24H;24H;24H;24H;24H;24H
La Vigna - Restaurant & Hotel;Bonea;Via Vignale, 11;0824 834621;12:45-15:00 19:45-23:00;19:45-23:00;12:45-15:00 19:45-23:00;12:30-15:30 19:45-23:00;12:30-15:30 19:45-23:00;12:30-15:30 19:30-23:30;12:45-15:00 19:45-23:00
La Falanghina;Bonea;Via Martine, 9;0824 832460;;12:30-22:30;12:30-22:30;12:30-22:30;12:30-22:30;12:30-23:30;12:30-22:30
Villa Vitagliano;Bonea;Via San Pietro, 1;329 451 7125;ND;ND;ND;ND;ND;ND;ND
BELLEVUE Ristorante Pizzeria;Bucciano;Contrada Cappella, 12 A;324 873 1629;;18:00-23:30;17:00-23:00;17:00-23:00;17:00-23:00;18:00-00:00;12:30-23:00
Ristorante Pizzeria Da Felice;Bucciano;Via Strepposa, 8;338 756 0837;ND;ND;ND;ND;ND;ND;ND
Agriturismo Masseria Grande;Bucciano;Via Campanile, 3;339 746 2656;ND;ND;ND;ND;ND;ND;ND
Falzarano Claudio;Bucciano;Via Provinciale, 9;0823 712629;ND;ND;ND;ND;ND;ND;ND
Bar Caffetteria Made in Sud;Bucciano;SP19;320 464 8230;05:30-01:00;05:30-01:00;05:30-01:00;05:30-01:00;05:30-01:00;05:30-02:00;05:30-02:00
La Calecara - Burger & Pizza;Buonalbergo;Via IV Novembre;329 377 7185;18:00-00:00;;18:00-00:00;18:00-00:00;18:00-00:00;18:00-00:00;18:00-00:00
Bar Taverna (da Pacchianella);Buonalbergo;Piazza Giuseppe Garibaldi, 23;;24H;24H;;24H;24H;24H;24H
Bar Italia New Generation;Buonalbergo;Via XX Settembre, 24;;07:00-20:30;07:00-20:30;07:00-20:30;07:00-20:30;07:00-21:30;07:00-20:30;07:30-22:00
Bar Caporibelle;Buonalbergo;SS90bis, 1;;06:00-21:30;06:00-21:30;06:00-21:30;06:00-21:30;06:00-21:30;06:00-21:30;06:00-21:30
TERZOTEMPO GASTROPUB;Calvi;Via Li Mai;347 282 0252;;20:00-01:30;20:00-01:30;20:00-01:30;20:00-01:30;20:00-01:30;
Tutta n'ata storia;Calvi;Piazza Roma;0824 195 9983;19:00-00:00;;19:00-00:00;19:00-00:00;19:00-01:00;19:00-01:00;19:00-00:00
Agriturismo L'Antica Quercia;Calvi;L'Antica Quercia;0824 40840;ND;ND;ND;ND;ND;ND;ND
Pizzeria Friggitoria 60/70;Calvi;Via Fornillo;350 096 3598;;18:00-23:00;18:00-23:00;18:00-23:00;18:00-23:00;18:00-00:00;18:00-23:00
Il Vecchio Bivacco;Calvi;Via Piano Casiello, 2;0824 174 8069;ND;ND;ND;ND;ND;ND;ND
Bar Tabacchi Teodolì;Calvi;Via Li Mai;;ND;ND;ND;ND;ND;ND;ND
Sesto Senso;Campolattaro;Via Molise, 2;345 939 9243;;;20:00-23:00;20:00-23:00;20:00-23:00;20:00-23:00;12:30-15:00 20:00-23:00
Il Covo dei Saraceni;Campolattaro;Via Cimitero;393 337 0653;ND;ND;ND;ND;ND;ND;ND
Chiosco “La Villa”;Campolattaro;Via Bebiana, 20;375 632 5365;ND;ND;ND;ND;ND;ND;ND
Bar Piazza Roma;Campolattaro;Piazza Roma, 14;328 287 6903;06:00-00:00;06:00-00:00;06:00-00:00;06:00-00:00;24H;24H;06:00-00:00
Bar 87;Campolattaro;Strada Statale 87;;05:30-19:30;05:30-19:30;05:30-19:30;05:30-19:30;05:30-19:30;05:30-19:30;